TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
17h42m10s,91m;1,21969E-06;7,95588E-07;0,50001881;-0,161275661;1,94E-09;-2,127E-09;1,59475E-06;3,19087E-07;0,50001881;-0,275499251;4,724E-09;-1,307E-09;1,90999E-07;3,9244E-08;0,50001881;-0,18331881;5,74E-10;-5,1E-10;1,2502E-08;1,0228E-08;0,467956048;-0,439820907;4,9E-11;-1,94E-10;1,3796E-08;9,786E-09;0,50001881;-0,499938586;2,76E-10;-6,8E-11;2,95581E-06;5,03752E-07;0,50001881;-0,225401185;8,519E-09;-5,522E-09;1,19649E-06;1,86561E-07;0,50001881;-0,169291351;3,57E-09;-2,291E-09;1,80737E-06;3,76903E-07;0,50001881;-0,241432566;5,463E-09;-3,151E-09;1,6272E-08;8,092E-09;0,50001881;-0,499938586;2,43E-10;-3,5E-11;1,43532E-06;2,03262E-07;0,50001881;-0,25946787;3,8E-09;-3,374E-09;1,50521E-06;3,67133E-07;0,50001881;-0,215381572;3,876E-09;-3,501E-09;1,4187E-08;1,0682E-08;0,471963893;-0,181314887;5,8E-11;-1,67E-10;6,15107E-07;8,8861E-08;0,50001881;-0,175303119;2,471E-09;-1,293E-09;3,20677E-06;5,79909E-07;0,50001881;-0,223397262;9,617E-09;-6,56E-09;5,68312E-07;1,36786E-07;0,50001881;-0,091138368;1,781E-09;-1,015E-09;4,20539E-06;6,92589E-07;0,50001881;-0,209369804;1,2727E-08;-9,002E-09;5,14771E-06;8,12648E-07;0,50001881;-0,227405108;1,5124E-08;-1,0149E-08;5,48597E-06;9,94049E-07;0,50001881;-0,223397262;1,5555E-08;-1,1199E-08;3,90977E-06;6,09057E-07;0,50001881;-0,227405108;1,0936E-08;-8,208E-09;1,40395E-06;2,29889E-07;0,50001881;-0,18331881;4,351E-09;-4,205E-09
17h42m18s,05m;1,16974E-06;7,86065E-07;0,50001881;-0,033024612;2,491E-09;-2,159E-09;1,47603E-06;3,19185E-07;0,50001881;-0,181314887;4,751E-09;-1,736E-09;1,76669E-07;4,0339E-08;0,50001881;-0,099154059;5,91E-10;-5,28E-10;1,2318E-08;1,0369E-08;0,46995997;-0,435813062;6E-11;-1,92E-10;1,256E-08;9,763E-09;0,50001881;-0,499938586;2,28E-10;-5,1E-11;2,80004E-06;5,06795E-07;0,50001881;-0,175303119;8,632E-09;-5,5E-09;1,13041E-06;1,85567E-07;0,50001881;-0,11518544;3,655E-09;-2,565E-09;1,68759E-06;3,83755E-07;0,50001881;-0,1913345;5,139E-09;-3,328E-09;1,4879E-08;8,899E-09;0,471963893;-0,499938586;9,1E-11;-2,2E-10;1,37195E-06;2,01892E-07;0,50001881;-0,22139334;3,891E-09;-3,151E-09;1,47558E-06;3,62264E-07;0,50001881;-0,181314887;4,233E-09;-3,533E-09;1,3943E-08;1,0551E-08;0,50001881;-0,499938586;2,13E-10;-3,3E-11;5,64706E-07;8,9566E-08;0,50001881;-0,159271738;3,08E-09;-1,517E-09;3,13686E-06;5,78099E-07;0,50001881;-0,197346268;9,669E-09;-6,548E-09;5,54365E-07;1,35677E-07;0,50001881;-0,073103065;1,831E-09;-1,063E-09;4,12219E-06;6,91217E-07;0,50001881;-0,187326655;1,2737E-08;-9,089E-09;5,03586E-06;8,15918E-07;0,50001881;-0,201354113;1,5085E-08;-1,0073E-08;5,38886E-06;1,00819E-06;0,50001881;-0,199350191;1,5717E-08;-1,12E-08;3,81873E-06;6,13039E-07;0,50001881;-0,211373727;1,0928E-08;-8,294E-09;1,38433E-06;2,27198E-07;0,50001881;-0,165283506;4,574E-09;-3,896E-09
17h42m25s,18m;1,18532E-06;8,07668E-07;-0,499938586;-0,023004999;2,382E-09;-2,232E-09;1,44262E-06;3,18516E-07;0,50001881;-0,163279583;4,921E-09;-3,206E-09;1,74493E-07;4,0007E-08;0,50001881;-0,087130523;6,96E-10;-3,47E-10;1,2791E-08;8,651E-09;0,50001881;-0,499938586;2,33E-10;-2,5E-11;1,2385E-08;9,502E-09;0,423869749;-0,499938586;1,88E-10;-6,7E-11;2,74946E-06;5,05002E-07;0,50001881;-0,159271738;8,683E-09;-5,64E-09;1,09568E-06;1,85796E-07;0,50001881;-0,095146214;3,575E-09;-2,476E-09;1,67979E-06;3,86066E-07;0,50001881;-0,171295274;5,464E-09;-3,162E-09;1,5086E-08;7,216E-09;0,50001881;-0,499938586;4,31E-10;-2E-11;1,3416E-06;2,02316E-07;0,50001881;-0,203358036;3,765E-09;-3,105E-09;1,45218E-06;3,61781E-07;0,50001881;-0,163279583;4,19E-09;-3,525E-09;1,3027E-08;1,0064E-08;0,487995274;-0,469879747;5,6E-11;-1,98E-10;5,46699E-07;8,9712E-08;0,50001881;-0,149252125;2,223E-09;-1,31E-09;3,08777E-06;5,79742E-07;0,50001881;-0,181314887;9,666E-09;-6,629E-09;5,4649E-07;1,35639E-07;0,50001881;-0,051059916;1,765E-09;-1,368E-09;4,06242E-06;6,91856E-07;0,50001881;-0,173299196;1,2705E-08;-9,098E-09;4,97268E-06;8,19385E-07;0,50001881;-0,1913345;1,5145E-08;-1,0146E-08;5,30764E-06;1,02571E-06;0,50001881;-0,189330578;1,5502E-08;-1,13E-08;3,75321E-06;6,09916E-07;0,50001881;-0,195342345;1,0871E-08;-8,256E-09;1,35748E-06;2,27344E-07;0,50001881;-0,155263893;4,512E-09;-3,792E-09
17h42m32s,28m;1,18544E-06;8,01151E-07;-0,499938586;-0,004969695;2,059E-09;-2,08E-09;1,41618E-06;3,1982E-07;0,50001881;-0,141236434;4,752E-09;-2,742E-09;1,71116E-07;4,1374E-08;0,50001881;-0,079114832;7,25E-10;-2,79E-10;1,2152E-08;9,58E-09;0,329685386;-0,493926818;9,4E-11;-3,8E-11;1,2102E-08;1,017E-08;0,463948202;-0,469879747;4,9E-11;-2,43E-10;2,69595E-06;5,01051E-07;0,50001881;-0,139232512;8,586E-09;-5,622E-09;1,07926E-06;1,81787E-07;0,50001881;-0,083122678;3,671E-09;-2,565E-09;1,63636E-06;3,84129E-07;0,50001881;-0,163279583;5,907E-09;-3,448E-09;1,4331E-08;5,978E-09;0,50001881;-0,499938586;2,43E-10;-2,1E-11;1,3251E-06;2,0148E-07;0,50001881;-0,187326655;3,839E-09;-3,707E-09;1,42503E-06;3,6342E-07;0,50001881;-0,147248202;4,032E-09;-3,407E-09;1,373E-08;9,246E-09;0,50001881;-0,499938586;2,56E-10;-3E-11;5,2995E-07;8,8985E-08;0,50001881;-0,127208976;1,757E-09;-1,217E-09;3,05386E-06;5,80629E-07;0,50001881;-0,173299196;9,619E-09;-6,755E-09;5,38757E-07;1,3548E-07;0,50001881;-0,043044225;1,776E-09;-1,369E-09;4,01355E-06;6,94165E-07;0,50001881;-0,163279583;1,256E-08;-9,104E-09;4,91543E-06;8,22116E-07;0,50001881;-0,181314887;1,5105E-08;-1,0162E-08;5,25198E-06;1,02903E-06;0,50001881;-0,179310964;1,5661E-08;-1,1323E-08;3,70259E-06;6,10975E-07;0,50001881;-0,185322732;1,0877E-08;-8,279E-09;1,33209E-06;2,282E-07;0,50001881;-0,141236434;4,54E-09;-3,584E-09
17h42m39s,40m;1,19788E-06;8,02321E-07;-0,499938586;0,019077377;1,945E-09;-2,155E-09;1,39444E-06;3,17876E-07;0,50001881;-0,143240357;4,616E-09;-3,366E-09;1,68606E-07;4,0645E-08;0,50001881;-0,069095219;5,89E-10;-3,41E-10;1,3101E-08;8,557E-09;0,50001881;-0,499938586;4,36E-10;-8,3E-11;1,2408E-08;8,345E-09;0,50001881;-0,499938586;2,55E-10;-5,6E-11;2,67159E-06;4,99537E-07;0,50001881;-0,131216821;8,742E-09;-5,668E-09;1,06109E-06;1,83618E-07;0,50001881;-0,07711091;3,772E-09;-2,488E-09;1,63163E-06;3,84029E-07;0,50001881;-0,157267815;5,219E-09;-3,375E-09;1,4248E-08;7,669E-09;0,475971738;-0,499938586;1,91E-10;-1,51E-10;1,31425E-06;2,0163E-07;0,50001881;-0,181314887;3,956E-09;-3,229E-09;1,41345E-06;3,56031E-07;0,50001881;-0,125205053;4,416E-09;-3,34E-09;1,2919E-08;1,0552E-08;0,457936434;-0,473887592;4,5E-11;-1,16E-10;5,19955E-07;8,6534E-08;0,50001881;-0,109173672;1,754E-09;-1,492E-09;3,03002E-06;5,77293E-07;0,50001881;-0,161275661;9,864E-09;-6,791E-09;5,36858E-07;1,37493E-07;0,50001881;-0,041040302;1,728E-09;-1,23E-09;3,97453E-06;6,83239E-07;0,50001881;-0,151256047;1,2651E-08;-9,222E-09;4,87037E-06;8,13121E-07;0,50001881;-0,173299196;1,526E-08;-1,0375E-08;5,20017E-06;1,03275E-06;0,50001881;-0,171295274;1,5556E-08;-1,1172E-08;3,66456E-06;6,0632E-07;0,50001881;-0,175303119;1,0912E-08;-8,346E-09;1,32758E-06;2,23343E-07;0,50001881;-0,125205053;4,449E-09;-3,854E-09
17h42m46s,51m;1,1992E-06;7,99994E-07;-0,495930741;0,017073454;2,046E-09;-2,167E-09;1,38502E-06;3,13679E-07;0,50001881;-0,127208976;4,986E-09;-2,863E-09;1,66382E-07;3,975E-08;0,50001881;-0,067091297;5,96E-10;-3,09E-10;1,2332E-08;1,0146E-08;0,465952125;-0,439820907;3,6E-11;-2,22E-10;1,3054E-08;1,0094E-08;0,50001881;-0,499938586;1,53E-10;-2,4E-11;2,64903E-06;4,80278E-07;0,50001881;-0,127208976;8,549E-09;-5,647E-09;1,04751E-06;1,78444E-07;0,50001881;-0,07711091;3,762E-09;-2,527E-09;1,60824E-06;3,81456E-07;0,50001881;-0,149252125;5,417E-09;-3,265E-09;1,3803E-08;7,246E-09;0,471963893;-0,499938586;3,38E-10;-1,33E-10;1,29488E-06;2,01432E-07;0,50001881;-0,161275661;4,127E-09;-3,14E-09;1,40471E-06;3,58548E-07;0,50001881;-0,119193285;4,336E-09;-3,525E-09;1,3973E-08;9,856E-09;0,50001881;-0,499938586;2,69E-10;-2,9E-11;5,21918E-07;8,6412E-08;0,50001881;-0,105165827;1,901E-09;-1,234E-09;3,01134E-06;5,74308E-07;0,50001881;-0,151256047;9,824E-09;-6,74E-09;5,32219E-07;1,34287E-07;0,50001881;-0,177307042;1,722E-09;-1,575E-09;3,95004E-06;6,67044E-07;0,50001881;-0,141236434;1,2808E-08;-9,178E-09;4,85132E-06;7,97451E-07;0,50001881;-0,161275661;1,5359E-08;-1,0383E-08;5,16245E-06;1,01992E-06;0,50001881;-0,157267815;1,5825E-08;-1,1265E-08;3,63931E-06;5,97226E-07;0,50001881;-0,159271738;1,0846E-08;-8,203E-09;1,34187E-06;2,15925E-07;0,50001881;-0,119193285;4,876E-09;-3,514E-09
17h42m53s,61m;1,19649E-06;7,92693E-07;-0,499938586;0,025089145;2,763E-09;-2,003E-09;1,37157E-06;3,05614E-07;0,50001881;-0,123201131;4,769E-09;-3,384E-09;1,66216E-07;3,9738E-08;0,50001881;-0,055067761;6,52E-10;-2,75E-10;1,1752E-08;9,071E-09;0,307642237;-0,477895437;9,7E-11;-1,75E-10;1,2153E-08;1,0569E-08;0,463948202;-0,281511019;2,8E-11;-1,58E-10;2,6356E-06;4,875E-07;0,50001881;-0,121197208;8,625E-09;-5,751E-09;1,04244E-06;1,80329E-07;0,50001881;-0,067091297;3,709E-09;-2,793E-09;1,60569E-06;3,82912E-07;0,50001881;-0,147248202;5,237E-09;-3,472E-09;1,3725E-08;6,904E-09;0,50001881;-0,499938586;1,9E-10;-2,9E-11;1,28218E-06;1,9861E-07;0,50001881;-0,15325997;3,882E-09;-4,044E-09;1,39747E-06;3,63073E-07;0,50001881;-0,111177595;4,071E-09;-3,399E-09;1,3469E-08;9,76E-09;0,50001881;-0,499938586;1,54E-10;-2,2E-11;5,17035E-07;8,783E-08;0,50001881;-0,113181517;2,094E-09;-1,393E-09;2,99909E-06;5,81208E-07;0,50001881;-0,149252125;9,63E-09;-6,743E-09;5,28279E-07;1,38448E-07;0,50001881;-0,171295274;1,724E-09;-1,408E-09;3,92872E-06;6,78839E-07;0,50001881;-0,143240357;1,2828E-08;-9,205E-09;4,82224E-06;7,99449E-07;0,50001881;-0,151256047;1,5114E-08;-1,0265E-08;5,15142E-06;1,03094E-06;0,50001881;-0,15325997;1,5975E-08;-1,1127E-08;3,62257E-06;6,07497E-07;0,50001881;-0,161275661;1,0853E-08;-8,399E-09;1,31299E-06;2,22316E-07;0,50001881;-0,091138368;4,681E-09;-3,481E-09
17h43m00s,71m;1,20798E-06;7,96876E-07;-0,499938586;0,033104835;2,198E-09;-1,992E-09;1,36925E-06;3,12014E-07;0,50001881;-0,113181517;4,724E-09;-3,887E-09;1,64768E-07;3,9325E-08;0,50001881;-0,03903638;6,04E-10;-3,08E-10;1,2227E-08;9,232E-09;0,50001881;-0,499938586;2,25E-10;-2,4E-11;1,2841E-08;9,363E-09;0,50001881;-0,499938586;2,95E-10;-4,4E-11;2,61417E-06;4,84831E-07;0,50001881;-0,11518544;8,607E-09;-5,697E-09;1,03752E-06;1,79832E-07;0,50001881;-0,065087374;4,023E-09;-2,601E-09;1,598E-06;3,82674E-07;0,50001881;-0,139232512;5,637E-09;-3,448E-09;1,3798E-08;8,283E-09;0,475971738;-0,499938586;1,07E-10;-1,6E-10;1,28681E-06;2,01217E-07;0,50001881;-0,163279583;4,007E-09;-3,397E-09;1,38704E-06;3,69098E-07;0,50001881;-0,113181517;4,49E-09;-3,446E-09;1,3523E-08;1,0006E-08;0,50001881;-0,499938586;1,41E-10;-1,9E-11;5,15396E-07;8,5491E-08;0,50001881;-0,097150136;1,755E-09;-1,246E-09;2,98929E-06;5,74928E-07;0,50001881;-0,14524428;9,514E-09;-6,761E-09;5,274E-07;1,35657E-07;0,50001881;-0,169291351;1,732E-09;-1,435E-09;3,90821E-06;6,7694E-07;0,50001881;-0,139232512;1,2852E-08;-9,148E-09;4,80411E-06;8,03939E-07;0,50001881;-0,15325997;1,5075E-08;-1,0151E-08;5,11554E-06;1,03188E-06;0,50001881;-0,155263893;1,5789E-08;-1,1256E-08;3,60826E-06;6,07671E-07;0,50001881;-0,159271738;1,088E-08;-8,305E-09;1,30938E-06;2,21861E-07;0,50001881;-0,105165827;4,446E-09;-3,435E-09
17h43m07s,83m;1,20525E-06;7,96558E-07;-0,499938586;0,033104835;1,941E-09;-2,064E-09;1,35804E-06;3,11249E-07;0,50001881;-0,099154059;4,622E-09;-2,784E-09;1,63603E-07;4,1994E-08;0,50001881;-0,057071683;5,87E-10;-3,22E-10;1,2864E-08;9,005E-09;0,50001881;-0,499938586;2,74E-10;-3,5E-11;1,2522E-08;9,598E-09;0,425873672;-0,499938586;1,57E-10;-5,8E-11;2,61003E-06;4,95489E-07;0,50001881;-0,099154059;8,749E-09;-5,692E-09;1,02701E-06;1,77788E-07;0,50001881;-0,065087374;3,673E-09;-2,584E-09;1,59378E-06;3,79861E-07;0,50001881;-0,133220744;5,349E-09;-3,499E-09;1,3962E-08;6,911E-09;0,477975661;-0,499938586;3,65E-10;-1,12E-10;1,27705E-06;1,99922E-07;0,50001881;-0,147248202;3,945E-09;-3,677E-09;1,38016E-06;3,65503E-07;0,50001881;-0,119193285;4,126E-09;-3,35E-09;1,2818E-08;1,0164E-08;0,427877595;-0,47989936;8,4E-11;-1,2E-10;5,10566E-07;8,8835E-08;0,50001881;-0,099154059;1,739E-09;-1,312E-09;2,98238E-06;5,79967E-07;0,50001881;-0,143240357;9,713E-09;-6,793E-09;5,25782E-07;1,38225E-07;0,50001881;-0,023004999;1,774E-09;-1,32E-09;3,89201E-06;6,91689E-07;0,50001881;-0,137228589;1,2574E-08;-9,399E-09;4,77497E-06;8,13269E-07;0,50001881;-0,155263893;1,5076E-08;-1,0352E-08;5,09827E-06;1,04853E-06;0,50001881;-0,155263893;1,5636E-08;-1,1593E-08;3,59571E-06;6,0969E-07;0,50001881;-0,161275661;1,0963E-08;-8,534E-09;1,3109E-06;2,2716E-07;0,50001881;-0,103161904;4,541E-09;-3,936E-09
17h43m14s,94m;1,20988E-06;7,90778E-07;-0,499938586;0,033104835;1,807E-09;-2,178E-09;1,3576E-06;3,10453E-07;0,50001881;-0,107169749;4,901E-09;-3,118E-09;1,63819E-07;4,0073E-08;0,50001881;-0,041040302;6,68E-10;-3,1E-10;1,2205E-08;9,073E-09;0,223477486;-0,499938586;9,6E-11;-4,5E-11;1,1827E-08;9,823E-09;0,419861904;-0,477895437;7,9E-11;-1,31E-10;2,59078E-06;4,88642E-07;0,50001881;-0,113181517;8,724E-09;-5,677E-09;1,02194E-06;1,81434E-07;0,50001881;-0,053063838;3,734E-09;-2,683E-09;1,59795E-06;3,78557E-07;0,50001881;-0,135224666;5,924E-09;-3,485E-09;1,4415E-08;6,87E-09;0,50001881;-0,499938586;2,21E-10;-2,7E-11;1,27871E-06;2,01955E-07;0,50001881;-0,159271738;3,992E-09;-3,36E-09;1,37773E-06;3,66191E-07;0,50001881;-0,099154059;4,112E-09;-3,418E-09;1,2894E-08;1,0993E-08;0,46995997;-0,217385494;4,5E-11;-1,45E-10;5,06249E-07;8,6029E-08;0,50001881;-0,099154059;1,723E-09;-1,293E-09;2,9634E-06;5,74677E-07;0,50001881;-0,139232512;9,739E-09;-6,917E-09;5,24487E-07;1,33966E-07;0,50001881;-0,167287429;1,824E-09;-1,471E-09;3,87857E-06;6,81191E-07;0,50001881;-0,131216821;1,2643E-08;-9,294E-09;4,778E-06;8,10513E-07;0,50001881;-0,147248202;1,5184E-08;-1,054E-08;5,09141E-06;1,05266E-06;0,50001881;-0,147248202;1,5505E-08;-1,1435E-08;3,58644E-06;6,09645E-07;0,50001881;-0,155263893;1,0854E-08;-8,514E-09;1,277E-06;2,21929E-07;0,50001881;-0,113181517;4,447E-09;-3,539E-09
