"2025-03-26_13h09m59s,02m",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"0,46534092544945698800","1,83838E-07","9,1503E-08","2,76173E-07","5,8638E-08","1,3253E-08","1,3253E-08","2,70818E-06","3,38739E-06","2,55951E-06","1,29968E-06","1,1688E-08","1,3253E-08","1,813E-06","2,26093E-07","1,3253E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,2643E-08"
"0,46734484808677162500","1,82273E-07","8,9938E-08","2,77738E-07","6,1768E-08","1,1688E-08","1,1688E-08","2,71914E-06","3,39835E-06","2,56733E-06","1,30438E-06","1,1688E-08","1,3253E-08","1,8177E-06","2,29223E-07","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,1078E-08"
"0,46934877072408626200","1,82273E-07","8,9938E-08","2,77738E-07","6,0203E-08","1,1688E-08","1,1688E-08","2,73166E-06","3,41713E-06","2,57359E-06","1,3122E-06","1,3253E-08","1,3253E-08","1,82552E-06","2,29223E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,1078E-08"
"0,47135269336140089800","1,85403E-07","9,1503E-08","2,80868E-07","6,0203E-08","1,1688E-08","1,1688E-08","2,74261E-06","3,42339E-06","2,57985E-06","1,3169E-06","1,1688E-08","1,3253E-08","1,84743E-06","2,30788E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","2,2643E-08"
"0,47335661599871553500","1,86968E-07","9,1503E-08","2,83998E-07","6,0203E-08","1,3253E-08","1,1688E-08","2,75357E-06","3,43121E-06","2,58142E-06","1,32159E-06","1,1688E-08","1,1688E-08","1,86934E-06","2,33918E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,2643E-08"
"0,47536053863603017200","1,86968E-07","9,1503E-08","2,85563E-07","6,1768E-08","1,3253E-08","1,3253E-08","2,76296E-06","3,44686E-06","2,58611E-06","1,32785E-06","1,0123E-08","1,3253E-08","1,88186E-06","2,32353E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,3253E-08","2,1078E-08"
"0,47736446127334480900","1,86968E-07","8,8373E-08","2,87128E-07","6,3333E-08","1,3253E-08","1,3253E-08","2,77861E-06","3,45938E-06","2,59394E-06","1,33255E-06","1,1688E-08","1,1688E-08","1,85839E-06","2,32353E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,1688E-08","2,2643E-08"
"0,47936838391065944600","1,90098E-07","8,8373E-08","2,88693E-07","6,4898E-08","1,1688E-08","1,1688E-08","2,79269E-06","3,47034E-06","2,60176E-06","1,33724E-06","1,1688E-08","1,1688E-08","1,86152E-06","2,32353E-07","1,3253E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,4208E-08"
"0,48137230654797402700","1,90098E-07","8,9938E-08","2,90258E-07","6,3333E-08","1,1688E-08","1,1688E-08","2,80365E-06","3,4766E-06","2,60333E-06","1,33881E-06","1,1688E-08","1,3253E-08","1,87091E-06","2,27658E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,3253E-08","2,1078E-08"
"0,48337622918528866400","1,91663E-07","8,8373E-08","2,93388E-07","6,3333E-08","1,3253E-08","1,3253E-08","2,81147E-06","3,49068E-06","2,60646E-06","1,34663E-06","1,0123E-08","1,3253E-08","1,87717E-06","2,40178E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","2,2643E-08"
"0,48538015182260330100","1,90098E-07","9,1503E-08","2,94953E-07","6,3333E-08","1,3253E-08","1,3253E-08","2,82399E-06","3,50477E-06","2,61428E-06","1,35446E-06","1,1688E-08","1,1688E-08","1,88499E-06","2,32353E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","2,2643E-08"
"0,48738407445991793700","1,94793E-07","8,8373E-08","2,94953E-07","6,4898E-08","1,1688E-08","1,1688E-08","2,83182E-06","3,51885E-06","2,62211E-06","1,35759E-06","1,3253E-08","1,3253E-08","1,89282E-06","2,35483E-07","1,1688E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,1078E-08"
"0,48938799709723257400","1,94793E-07","8,9938E-08","2,98083E-07","6,6463E-08","1,3253E-08","1,3253E-08","2,84434E-06","3,52668E-06","2,62367E-06","1,35602E-06","1,1688E-08","1,1688E-08","1,89908E-06","2,32353E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","2,2643E-08"
"0,49139191973454721100","1,93228E-07","8,9938E-08","3,01213E-07","6,8028E-08","1,1688E-08","1,1688E-08","2,85842E-06","3,53607E-06","2,62837E-06","1,36385E-06","1,1688E-08","1,3253E-08","1,90534E-06","2,40178E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","2,2643E-08"
"0,49339584237186184800","1,94793E-07","9,1503E-08","3,04343E-07","6,8028E-08","1,1688E-08","1,1688E-08","2,87094E-06","3,55798E-06","2,63306E-06","1,36854E-06","1,1688E-08","1,1688E-08","1,91629E-06","2,40178E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","2,2643E-08"
"0,49539976500917648500","1,94793E-07","8,8373E-08","3,04343E-07","6,8028E-08","1,4818E-08","1,1688E-08","2,88033E-06","3,56893E-06","2,63776E-06","1,3748E-06","1,3253E-08","1,3253E-08","1,92255E-06","2,37048E-07","1,1688E-08","1,4818E-08","1,3253E-08","1,1688E-08","1,3253E-08","2,2643E-08"
"0,49740368764649112200","1,97923E-07","9,1503E-08","3,04343E-07","6,6463E-08","1,3253E-08","1,1688E-08","2,88972E-06","3,57676E-06","2,64245E-06","1,3795E-06","1,3253E-08","1,3253E-08","1,92725E-06","2,40178E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","2,4208E-08"
"0,49940761028380570300","1,99488E-07","8,8373E-08","3,05908E-07","6,8028E-08","1,3253E-08","1,1688E-08","2,89911E-06","3,59084E-06","2,65028E-06","1,38106E-06","1,1688E-08","1,1688E-08","1,93194E-06","2,43308E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,4208E-08"
"0,50141153292112039500","1,97923E-07","8,9938E-08","3,09038E-07","6,8028E-08","1,3253E-08","1,1688E-08","2,91476E-06","3,61432E-06","2,65497E-06","1,38576E-06","1,3253E-08","1,3253E-08","1,94133E-06","2,44873E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,3253E-08","2,4208E-08"
